date,age_grp,gender,card_cnt
3/20/2016,66_abv,F,2
3/20/2016,66_abv,M,1
3/21/2016,40_65,M,1
3/21/2016,66_abv,F,2
3/22/2016,20_39,M,1
3/22/2016,40_65,F,2
3/22/2016,66_abv,F,1
3/23/2016,40_65,F,1
3/24/2016,40_65,F,1
3/24/2016,40_65,M,1
3/24/2016,66_abv,M,1
3/25/2016,40_65,F,2
3/25/2016,66_abv,F,3
3/25/2016,66_abv,M,2
3/26/2016,40_65,M,1
3/26/2016,66_abv,F,3
3/27/2016,40_65,F,1
3/27/2016,40_65,M,1
3/27/2016,66_abv,F,1
3/27/2016,66_abv,M,1
3/28/2016,20_39,F,2
3/28/2016,40_65,F,2
3/28/2016,40_65,M,1
3/28/2016,66_abv,F,1
3/28/2016,66_abv,M,1
3/29/2016,40_65,M,1
3/29/2016,66_abv,F,1
3/29/2016,66_abv,M,1
3/30/2016,40_65,F,2
3/30/2016,40_65,M,1
3/31/2016,40_65,F,1
3/31/2016,40_65,M,1
3/31/2016,66_abv,F,2
4/1/2016,20_39,M,1
4/1/2016,40_65,F,1
4/1/2016,40_65,M,1
4/2/2016,40_65,M,1
4/3/2016,20_39,M,1
4/3/2016,66_abv,F,4
4/4/2016,40_65,F,3
4/4/2016,40_65,M,3
4/4/2016,66_abv,F,1
4/5/2016,0_19,F,1
4/5/2016,20_39,F,1
4/5/2016,40_65,F,2
4/5/2016,40_65,M,2
4/5/2016,66_abv,F,3
4/6/2016,40_65,F,1
4/6/2016,66_abv,F,1
4/6/2016,66_abv,M,4
4/7/2016,40_65,M,3
4/7/2016,66_abv,F,1
4/8/2016,40_65,F,1
4/8/2016,40_65,M,3
4/8/2016,66_abv,F,2
4/9/2016,20_39,F,1
4/9/2016,40_65,M,1
4/9/2016,66_abv,M,1
4/10/2016,20_39,F,1
4/10/2016,40_65,F,3
4/10/2016,40_65,M,3
4/11/2016,40_65,F,1
4/11/2016,40_65,M,1
4/12/2016,0_19,F,1
4/12/2016,20_39,F,1
4/12/2016,40_65,F,1
4/13/2016,20_39,F,1
4/13/2016,40_65,F,2
4/13/2016,66_abv,M,1
4/14/2016,40_65,M,3
4/14/2016,66_abv,F,1
4/15/2016,40_65,F,1
4/16/2016,20_39,F,1
4/16/2016,40_65,F,2
4/18/2016,40_65,F,1
4/18/2016,66_abv,F,1
4/19/2016,20_39,F,1
4/20/2016,66_abv,F,2
4/21/2016,20_39,M,1
4/21/2016,40_65,F,1
4/22/2016,40_65,F,2
4/22/2016,40_65,M,1
4/22/2016,66_abv,F,1
4/22/2016,66_abv,M,1
4/23/2016,40_65,F,2
4/23/2016,40_65,M,1
4/24/2016,20_39,F,1
4/24/2016,20_39,M,1
4/24/2016,40_65,M,1
4/25/2016,40_65,F,1
4/25/2016,40_65,M,4
4/26/2016,40_65,F,2
4/26/2016,40_65,M,1
4/27/2016,40_65,M,1
4/27/2016,66_abv,F,1
4/28/2016,40_65,F,1
4/29/2016,20_39,F,1
4/29/2016,20_39,M,1
4/29/2016,40_65,F,2
4/29/2016,40_65,M,2
4/29/2016,66_abv,F,1
4/30/2016,0_19,F,1
4/30/2016,20_39,F,1
4/30/2016,40_65,F,1
4/30/2016,40_65,M,1
4/30/2016,66_abv,F,1
5/1/2016,20_39,M,1
5/1/2016,40_65,F,2
5/1/2016,40_65,M,3
5/1/2016,66_abv,M,2
5/2/2016,40_65,F,2
5/2/2016,40_65,M,1
5/2/2016,66_abv,F,1
5/2/2016,66_abv,M,1
5/3/2016,40_65,F,1
5/3/2016,40_65,M,1
5/3/2016,66_abv,M,1
5/4/2016,40_65,F,1
5/4/2016,40_65,M,1
5/4/2016,66_abv,F,1
5/5/2016,40_65,F,1
5/5/2016,40_65,M,1
5/5/2016,66_abv,F,1
5/6/2016,40_65,M,2
5/7/2016,40_65,F,2
5/7/2016,66_abv,M,2
5/8/2016,40_65,M,1
5/9/2016,40_65,M,1
5/10/2016,20_39,F,1
5/10/2016,40_65,F,2
5/10/2016,66_abv,M,1
5/11/2016,20_39,M,1
5/11/2016,40_65,F,1
5/11/2016,66_abv,F,1
5/12/2016,40_65,F,2
5/12/2016,40_65,M,3
5/12/2016,66_abv,F,2
5/12/2016,66_abv,M,1
5/13/2016,40_65,F,1
5/14/2016,20_39,M,1
5/14/2016,40_65,F,1
5/14/2016,40_65,M,1
5/14/2016,66_abv,F,2
5/15/2016,66_abv,M,1
5/16/2016,20_39,M,1
5/16/2016,66_abv,F,2
5/17/2016,20_39,F,1
